,variables,coefficient,lower,upper,p-value,,
1,age,0.921708136,0.801409687,1.060064411,0.253235969,,0.922 [0.801;1.06]; 0.253
2,"relevel(factor(type_of_preg), ref = ""Natural"")Assisted",0.932967033,0.118085968,7.371133917,0.947542009,,0.933 [0.118;7.371]; 0.948
3,vaccinationOnly 1 dose,1.410648392,0.409630375,4.85786457,0.585528246,,1.411 [0.41;4.858]; 0.586
4,"relevel(factor(first_vaccine), ref = ""Pfizer BioNTech"")AstraZeneca",0.435344842,0.114798917,1.650931356,0.221405267,,0.435 [0.115;1.651]; 0.221
5,gest_at_vaccine,0.774772208,0.67721497,0.886383203,0.000202072,,0.775 [0.677;0.886]; 0
6,mother_covid_21,2.51E-07,0,Inf,0.99036541,,
7,gest_hbp_a,2.00E-06,0,Inf,0.993516386,,
8,gest_hbp_b,5.44E-06,0,Inf,0.993019046,,
9,gest_diabetes_a,2.00E-06,0,Inf,0.993516386,,
10,gest_diabetes_b1,8.72E-08,0,Inf,0.991987216,,
